Produk,Kecamatan,Q2018,Q2019,Q2020,Q2021,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12
ZA,Banyuasin II, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ZA,Karang Agung Ilir, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ZA,Tungkal Ilir, 0, 16, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ZA,S Marga Telang, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ZA,Air Kumbang, 25, 34, 0, 10, 0, 20, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0
ORGANIK,Rantau Bayur, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Banyuasin III, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Makarti Jaya, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Talang Kelapa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Betung, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Sembawa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Muara Telang, 10, 32, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 20, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Air Saleh, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Suak Tapeh, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Rambutan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Pulau Rimau, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Selat Penuguan, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Muara Sugihan, 30, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Muara Padang, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Banyuasin I, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Tanjung Lago, 32, 16, 0, 40, 0, 0, 0, 0, 24, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Banyuasin II, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Karang Agung Ilir, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Tungkal Ilir, 24, 18, 32, 136, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 10, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,S Marga Telang, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORGANIK,Air Kumbang, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
NPK,Rantau Bayur, 24, 64, 80, 148, 8, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8, 0, 8, 24, 0, 8, 16, 0, 0, 0, 0, 0, 0, 16, 8, 32, 0, 8, 16, 0, 0, 0, 0, 0, 8, 16, 64, 0, 8, 42, 0, 10, 0, 0, 0
NPK,Banyuasin III, 3, 0, 75, 48, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 24, 0, 0, 27, 0, 8, 0, 0, 16, 0, 0, 0, 8, 0, 8, 0, 8, 0
NPK,Makarti Jaya, 769, 226, 464, 405, 0, 40, 28, 30, 10, 0, 0, 0, 0, 265, 150, 247, 10, 16, 0, 40, 10, 0, 0, 0, 0, 50, 100, 0, 260, 90, 0, 0, 0, 0, 0, 0, 50, 45, 0, 19, 0, 40, 10, 0, 40, 0, 15, 0, 0, 0, 100, 200 
NPK,Talang Kelapa, 112, 42, 62, 70, 24, 0, 10, 0, 0, 0, 0, 8, 29, 9, 8, 0, 0, 0, 0, 0, 0, 32, 8, 0, 2, 0, 0, 0, 0, 0, 20, 0, 6, 0, 0, 24, 0, 0, 0, 11, 0, 0, 3, 22, 7, 0, 0, 17, 0, 7, 0, 13 
NPK,Betung, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
NPK,Sembawa, 173, 104, 120, 90, 0, 8, 40, 8, 8, 29, 16, 16, 8, 32, 0, 8, 0, 8, 8, 8, 0, 8, 8, 8, 8, 16, 32, 0, 0, 16, 8, 8, 0, 8, 48, 8, 4, 20, 0, 0, 0, 0, 16, 0, 3, 5, 8, 16, 16, 16, 0, 10 
NPK,Muara Telang, 3602, 3420, 3047, 3656, 0, 494, 356, 510, 20, 158, 0, 0, 422, 585, 693, 364, 180, 356, 680, 320, 60, 140, 0, 120, 380, 260, 836, 88, 156, 190, 690, 841, 178, 130, 210, 87, 495, 20, 0, 49, 0, 0, 200, 867, 752, 502, 372, 122, 3, 204, 170, 464 
NPK,Air Saleh, 2081, 2100, 1816, 2428, 0, 60, 220, 10, 90, 0, 50, 70, 330, 720, 250, 280, 20, 80, 480, 160, 120, 10, 40, 0, 260, 330, 600, 0, 70, 300, 210, 270, 98, 127, 150, 100, 206, 80, 0, 205, 0, 65, 268, 595, 364, 429, 0, 0, 0, 174, 291, 244 
NPK,Suak Tapeh, 172, 72, 58, 24, 32, 0, 0, 8, 0, 0, 0, 36, 8, 8, 32, 48, 0, 0, 0, 0, 0, 24, 0, 40, 0, 0, 8, 0, 0, 16, 8, 8, 0, 0, 0, 0, 0, 8, 10, 8, 0, 0, 0, 0, 7, 0, 1, 0, 0, 8, 0, 8 
NPK,Rambutan, 314, 267, 408, 310, 0, 0, 24, 18, 48, 64, 56, 16, 8, 0, 40, 40, 32, 0, 16, 0, 40, 65, 98, 16, 0, 0, 0, 0, 24, 32, 8, 52, 66, 59, 72, 28, 19, 8, 28, 12, 0, 0, 0, 0, 106, 52, 0, 0, 0, 0, 91, 61 
NPK,Pulau Rimau, 1343, 399, 764, 583, 104, 46, 162, 160, 34, 87, 121, 39, 17, 140, 315, 118, 78, 36, 74, 32, 20, 0, 0, 0, 35, 108, 16, 0, 148, 152, 72, 62, 8, 17, 77, 41, 125, 32, 28, 2, 0, 24, 0, 13, 53, 91, 75, 28, 83, 45, 122, 50 
